Kreis;Beschaeftigte;Beschaeftigte-Baugewerbe;Anteil-Baugewerbe;Anteil-Hochschulabschluss;Einkommen-Median;Universitaeten-Mittel;Patente
5962;143950;6000;0.0416811393;0.0922125738;2814;14175;103.413
5966;49870;3266;0.0654902747;0.0711650291;2771;0;46.4004
5970;102161;5298;0.0518593201;0.1065768738;2947;70762;52.7377
5974;96312;4801;0.0498484093;0.102988205;2679;8974.5;50.5935
5978;103910;5069;0.0487826003;0.0888846117;2591;0;50.7452
6411;87117;1972;0.0226362248;0.2707852658;3480;255372;86.4325
6412;491007;12809;0.0260872045;0.2443671882;3612;657564;205.215
6413;45719;2119;0.0463483453;0.1940549881;3224;3844;15.3135
6414;122108;4832;0.0395715268;0.200076981;3255;23530.5;27.2686
6431;63033;4543;0.0720733584;0.1144955817;2615;0;98.6388
6432;62915;5088;0.0808710165;0.1090836843;2690;17440;117.337
6433;87346;3926;0.0449476793;0.1617360841;3295;11698;51.7722
6434;77314;2794;0.0361383449;0.2070905657;3282;2799;77.528
6435;111441;7640;0.0685564559;0.1018655611;2682;0;100.972
6436;82365;2470;0.029988466;0.2496812967;3589;0;105.652
6437;23498;1528;0.0650268108;0.0701761852;2482;0;19.7003
6438;101430;5341;0.0526570048;0.1561963916;3026;3203.5;89.4713
6439;37633;2338;0.0621263253;0.1375388622;2668;23078;38.3229
6440;73460;4637;0.0631227879;0.1209637898;2676;14222.5;64.8797
6531;85868;3748;0.0436483906;0.1342758653;2741;478103;52.471
6532;83030;4072;0.0490425148;0.0964229796;2781;1391;34.181
6533;45456;4147;0.0912310806;0.1067845829;2527;0;22.1088
6534;80799;3510;0.0434411317;0.1249891707;2772;420226;48.7159
6535;28315;2131;0.0752604627;0.0660780505;2493;0;13.6679
6611;97107;3449;0.0355175219;0.1574448804;2838;117444;33.4167
6631;78502;6350;0.0808896589;0.0902906932;2474;18647;17.6
6632;42202;3336;0.0790483863;0.0844746694;2434;3056;8.28333
6633;65210;2747;0.0421254409;0.0847569391;2898;0;29.0583
6634;46937;2578;0.0549246863;0.0877985385;2516;0;32.1603
6635;54591;3450;0.0631972303;0.0720265245;2552;0;17.1651
6636;26189;2222;0.0848447822;0.0733514071;2344;0;4.78333
7111;65130;2051;0.0314908644;0.1256563795;2880;35337;28.0429
7131;27965;2247;0.080350438;0.0833184338;2453;13263;13.3
7132;32801;2767;0.0843571842;0.0707295509;2553;0;15.3778
7133;47178;2705;0.0573360465;0.0845521218;2617;0;26.6242
7134;24665;1903;0.0771538617;0.0685992297;2428;15163.5;4
7135;17471;1674;0.0958159235;0.0511705111;2429;0;3.38333
7137;55693;3578;0.0642450577;0.0746413373;2618;49946;20.373
7138;53950;3800;0.0704355885;0.0849675626;2652;0;29.2874
7140;30924;3075;0.0994373302;0.0682317941;2489;0;13.6466
7141;28042;1938;0.0691106198;0.076528065;2522;0;20.2444
7143;58839;5792;0.0984381108;0.067319295;2502;5756;15.7833
7211;51911;2334;0.0449615688;0.1333628711;2684;89069.5;6.32064
7231;35006;3314;0.0946694852;0.0603896475;2464;0;9.83333
7232;25333;2642;0.1042908459;0.0665929815;2583;0;3.14167
7233;17087;1288;0.0753789431;0.0658395271;2475;0;5.5
7235;24446;2885;0.1180152172;0.0560418882;2410;0;10.898
7311;15567;741;0.0476006938;0.1283484294;3081;0;12.0595
7312;49483;1704;0.034436069;0.1287512883;2898;115252;26.0345
7313;19161;668;0.0348624811;0.1075100464;2509;19388;6.7
7314;89408;3681;0.0411708125;0.1510938618;3830;15912;95.3673
7315;101666;2706;0.026616568;0.215745677;3119;707846;75.4111
7316;15609;1388;0.0889230572;0.0916778781;2456;0;39.172
7317;19739;909;0.0460509651;0.0738132631;2589;7155;1.64286
7318;23145;756;0.0326636423;0.119507453;2822;4409;25.6992
7319;29093;1601;0.0550304197;0.0858282061;2668;7056;26.7663
7320;14131;499;0.0353124337;0.1026820466;2903;8150;7.80952
7331;26474;2410;0.0910327113;0.0909193926;2512;0;30.3806
7332;28026;1970;0.0702918718;0.0759651752;2504;0;97.2687
7333;19690;1030;0.0523108177;0.0831894363;2810;0;15.0542
7334;40091;2022;0.0504352598;0.0964306203;3204;0;33.6218
7335;22132;2306;0.1041930237;0.0574281583;2484;0;22.7202
7336;12063;813;0.0673961701;0.0582773771;2404;0;3.23333
7337;24724;2096;0.0847759262;0.0840478887;2526;3253;17.9838
7338;23924;2783;0.1163267012;0.0824276877;2370;0;84.9657
7339;45219;3331;0.0736637254;0.1336606294;2795;9672;109.805
7340;14108;1590;0.112702013;0.0470654948;2192;0;12.3333
8111;344319;11999;0.034848498;0.2642491411;3631;438564;365.15
8115;155017;5097;0.0328802647;0.204880755;3801;0;195.721
8116;178699;9543;0.0534026491;0.1551155854;3147;31206;248.126
8117;77103;6306;0.0817867009;0.0953659391;2870;8242;60.869
8118;165875;8532;0.0514363225;0.1588726451;3063;25341;411.807
8119;126212;7869;0.0623474788;0.1163835451;2896;0;178.659
8121;61732;1966;0.0318473401;0.1116600791;2858;22018.5;33.1814
8125;107661;5529;0.0513556441;0.1191610704;3057;0;101.968
8126;46135;2406;0.0521512951;0.078617102;2962;6855.5;43.7738
8127;68472;5050;0.0737527749;0.0804270359;2739;603;40.0052
8128;47524;2717;0.0571711135;0.0805908594;2699;0;21.3
8135;46485;2017;0.043390341;0.1166397763;3050;0;109.196
8136;105303;6724;0.0638538313;0.1075183043;2975;26825;172.899
8211;30571;1405;0.0459585882;0.1422262929;2879;0;11.5214
8212;158261;5489;0.0346832132;0.1928396762;3148;286944;110.928
8215;127526;7370;0.0577921365;0.1315261202;2846;0;193.767
8216;77684;4443;0.0571932444;0.1067401267;3112;0;91.0798
8221;79801;1588;0.0198995;0.2472525407;3143;882373;116.096
8222;165889;8702;0.0524567633;0.1767929157;3322;106696;145.594
8225;41905;3096;0.0738813984;0.0637155471;2634;0;19.8024
8226;143888;7512;0.0522072723;0.1750736684;3020;1215;278.294
8231;50070;1797;0.0358897543;0.112742161;2772;20513;25.1583
8235;40149;2825;0.0703628982;0.0825176219;2646;1655;20.9353
8236;50594;2508;0.0495710954;0.0801083132;2751;0;80.9428
8237;41607;2487;0.0597735958;0.079193405;2805;0;61.0667
8311;103877;2991;0.0287936694;0.2141282478;2856;673875;89.0438
8315;66217;5517;0.083316973;0.0950662217;2563;0;67.7269
8316;42447;3290;0.0775084223;0.0913138738;2624;0;47.3153
8317;152750;9980;0.0653355155;0.0809754501;2691;15326;96.0455
8325;48777;3009;0.0616889108;0.0778030629;2828;0;49.6809
8326;75433;3632;0.0481486882;0.1002081317;2719;21604;73.7385
8327;53016;2656;0.0500980836;0.0863324279;2878;5891;94.2751
8335;84276;3943;0.0467867483;0.1396838958;2764;97756;113.766
8336;67702;4066;0.06005731;0.1017399781;2847;0;103.209
8337;46660;4155;0.0890484355;0.0736176597;2633;150;45.9996
8415;96277;5571;0.0578642874;0.1288261994;2921;20262;116.537
8416;64635;3095;0.0478842732;0.1850700085;2869;908716;113.813
8417;59485;4001;0.0672606539;0.0785071867;2705;7640.5;60.4945
8421;81587;2359;0.0289139201;0.1928125804;3108;405698;76.2203
8425;47710;4063;0.0851603437;0.0745336407;2782;0;59.2869
8426;67896;4661;0.0686491104;0.1074142807;3078;8697;70.8879
8435;76934;3681;0.0478462058;0.1782696857;3245;4046;171.604
8436;96732;6045;0.0624922466;0.1087954348;2732;21045;101.212
8437;41437;3433;0.0828486618;0.077346333;2756;3995.5;20.9
9161;81200;1992;0.0245320197;0.151317734;3751;14576.5;38.2274
9162;694419;17271;0.0248711513;0.2727791146;3504;1621240;727.098
9163;30311;1303;0.0429876942;0.1184058593;2765;12371;22.6512
9171;41036;3098;0.0754946876;0.0929427819;3051;0;48.1523
9172;30449;2376;0.0780321193;0.0716608099;2472;0;21.35
9173;31986;2527;0.0790033139;0.1011067342;2623;1560;34.4752
